OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,totalarea,sum_treecanopy,sum_naturalcover
1,42,101,039100,42101039100,391,Census Tract 391,G5020,S,0.483799011,0.239735344,0.09308391
2,42,101,980902,42101980902,9809.02,Census Tract 9809.02,G5020,S,0.070689097,0.01018958,0.0179973
3,42,101,980904,42101980904,9809.04,Census Tract 9809.04,G5020,S,0.667684019,0.048575637,0.061012999
4,42,101,980903,42101980903,9809.03,Census Tract 9809.03,G5020,S,0.066082798,0.011793252,0
5,42,101,980906,42101980906,9809.06,Census Tract 9809.06,G5020,S,1.285140038,0.111128805,0.12505415
6,42,101,980905,42101980905,9809.05,Census Tract 9809.05,G5020,S,0.41703099,0.05292336,0.057870531
7,42,101,036700,42101036700,367,Census Tract 367,G5020,S,0.281814992,0.020458708,0
8,42,101,034702,42101034702,347.02,Census Tract 347.02,G5020,S,0.398589998,0.237198346,0.01328853
9,42,101,034801,42101034801,348.01,Census Tract 348.01,G5020,S,0.537123024,0.296552401,0.051461122
10,42,101,034802,42101034802,348.02,Census Tract 348.02,G5020,S,0.47883901,0.373847101,0.081174328
11,42,101,034900,42101034900,349,Census Tract 349,G5020,S,0.753778994,0.292702011,0.019178198
12,42,101,035100,42101035100,351,Census Tract 351,G5020,S,0.642268002,0.248656953,0.277101775
13,42,101,035200,42101035200,352,Census Tract 352,G5020,S,0.720284998,0.525882115,0.056765488
14,42,101,980300,42101980300,9803,Census Tract 9803,G5020,S,2.941610098,1.041805518,0.462391064
15,42,101,035500,42101035500,355,Census Tract 355,G5020,S,0.88460201,0.434618203,0.051072604
16,42,101,035800,42101035800,358,Census Tract 358,G5020,S,0.679401994,0.469257474,0.035744185
17,42,101,035900,42101035900,359,Census Tract 359,G5020,S,0.867654026,0.66102224,0.190760722
18,42,101,036000,42101036000,360,Census Tract 360,G5020,S,0.789081991,0.306650486,0.016678673
19,42,101,036100,42101036100,361,Census Tract 361,G5020,S,0.468356013,0.325118369,0.080271729
20,42,101,026000,42101026000,260,Census Tract 260,G5020,S,0.209819004,0.0613259,0
21,42,101,027500,42101027500,275,Census Tract 275,G5020,S,0.236083001,0.104277798,0.016332099
22,42,101,006500,42101006500,65,Census Tract 65,G5020,S,0.441597998,0.256651686,0.060429969
23,42,101,006600,42101006600,66,Census Tract 66,G5020,S,0.251446009,0.07152105,0
24,42,101,006700,42101006700,67,Census Tract 67,G5020,S,0.386667997,0.139523009,0.00451737
25,42,101,007200,42101007200,72,Census Tract 72,G5020,S,0.194111004,0.042594568,2.44396E-07
26,42,101,001600,42101001600,16,Census Tract 16,G5020,S,0.075825296,0.004167607,0
27,42,101,001700,42101001700,17,Census Tract 17,G5020,S,0.082132302,0.011868749,0.000347491
28,42,101,007300,42101007300,73,Census Tract 73,G5020,S,0.149217993,0.028293297,0
29,42,101,007400,42101007400,74,Census Tract 74,G5020,S,0.261025995,0.074720955,0
30,42,101,001800,42101001800,18,Census Tract 18,G5020,S,0.093606502,0.003390685,0
31,42,101,001900,42101001900,19,Census Tract 19,G5020,S,0.126767993,0.002155292,0
32,42,101,002100,42101002100,21,Census Tract 21,G5020,S,0.091706298,0.005907328,0
33,42,101,002200,42101002200,22,Census Tract 22,G5020,S,0.088301003,0.003127416,0
34,42,101,002400,42101002400,24,Census Tract 24,G5020,S,0.206727996,0.004795823,0
35,42,101,002500,42101002500,25,Census Tract 25,G5020,S,0.151978001,0.025510941,0.001389961
36,42,101,002900,42101002900,29,Census Tract 29,G5020,S,0.142957002,0.001385959,0
37,42,101,003100,42101003100,31,Census Tract 31,G5020,S,0.152861997,0.005907342,0
38,42,101,003200,42101003200,32,Census Tract 32,G5020,S,0.189881995,0.020467623,0.000347491
39,42,101,003300,42101003300,33,Census Tract 33,G5020,S,0.448076993,0.088471411,0.026071793
40,42,101,007800,42101007800,78,Census Tract 78,G5020,S,0.164757997,0.086310652,0
41,42,101,007900,42101007900,79,Census Tract 79,G5020,S,0.145927995,0.067671308,0
42,42,101,008000,42101008000,80,Census Tract 80,G5020,S,0.166365996,0.035580865,0.006249245
43,42,101,008200,42101008200,82,Census Tract 82,G5020,S,0.325670004,0.113116426,0.032844865
44,42,101,008301,42101008301,83.01,Census Tract 83.01,G5020,S,0.199717999,0.083100452,0.01448569
45,42,101,003600,42101003600,36,Census Tract 36,G5020,S,0.37242499,0.102733259,0.000347491
46,42,101,003701,42101003701,37.01,Census Tract 37.01,G5020,S,0.137305006,0.002554196,0
47,42,101,003702,42101003702,37.02,Census Tract 37.02,G5020,S,0.095502697,0.002474358,0
48,42,101,003800,42101003800,38,Census Tract 38,G5020,S,0.420554996,0.061817018,0
49,42,101,003901,42101003901,39.01,Census Tract 39.01,G5020,S,0.162314996,0,0
50,42,101,003902,42101003902,39.02,Census Tract 39.02,G5020,S,0.174885005,0.018059583,0.00464955
51,42,101,004001,42101004001,40.01,Census Tract 40.01,G5020,S,0.121587999,0.001737451,0
52,42,101,015300,42101015300,153,Census Tract 153,G5020,S,0.181139007,0.021506046,0
53,42,101,025300,42101025300,253,Census Tract 253,G5020,S,0.224439994,0.097383542,0
54,42,101,035301,42101035301,353.01,Census Tract 353.01,G5020,S,0.545247018,0.242318525,0.085700263
55,42,101,031900,42101031900,319,Census Tract 319,G5020,S,0.298539013,0.114333878,0.020849465
56,42,101,028300,42101028300,283,Census Tract 283,G5020,S,0.259871989,0.081400471,0
57,42,101,008302,42101008302,83.02,Census Tract 83.02,G5020,S,0.164183006,0.019024578,0
58,42,101,008400,42101008400,84,Census Tract 84,G5020,S,0.193730995,0.013209177,0
59,42,101,008500,42101008500,85,Census Tract 85,G5020,S,0.239942998,0.020377706,5.585E-06
60,42,101,009000,42101009000,90,Census Tract 90,G5020,S,0.202947006,0.060291034,0.001389961
61,42,101,004002,42101004002,40.02,Census Tract 40.02,G5020,S,0.133144006,0.000308557,0
62,42,101,004101,42101004101,41.01,Census Tract 41.01,G5020,S,0.144400999,0.002084945,0
63,42,101,011200,42101011200,112,Census Tract 112,G5020,S,0.194268003,0.050354298,0.00486487
64,42,101,002300,42101002300,23,Census Tract 23,G5020,S,0.0819989,0.001704367,0
